Inspection ID;Inspection Group;Inspection Name;Inspection Language;Inspection Type;Absolute Time spent on Inspection, s;Percent of Time spent on Inspection;Problems Count;Times Inspection was Performed
JSObjectNullOrUndefined;JavaScript and TypeScript/Control flow issues;Object is 'null' or 'undefined';JavaScript;LOCAL;0.70;0.54%;0;345
CheckDependencyLicenses;Dependency analysis;Check dependency licenses;;GLOBAL;0.47;0.36%;1;1
JSUndefinedPropertyAssignment;JavaScript and TypeScript/Code style issues;Undefined property assignment;JavaScript;LOCAL;0.43;0.33%;1;344
TypeScriptSmartCast;JavaScript and TypeScript/TypeScript;Narrowed type;TypeScript;LOCAL;0.43;0.33%;0;344
NodeCoreCodingAssistance;JavaScript and TypeScript/Node.js;Unresolved Node.js APIs;JavaScript;LOCAL;0.41;0.32%;0;344
ES6UnusedImports;JavaScript and TypeScript/Imports and dependencies;Unused import;JavaScript;LOCAL;0.38;0.30%;0;344
WebpackConfigHighlighting;JavaScript and TypeScript/General;Webpack config compliance with JSON Schema;JavaScript;LOCAL;0.38;0.29%;0;344
JSPotentiallyInvalidTargetOfIndexedPropertyAccess;JavaScript and TypeScript/Probable bugs;Possibly incorrect target of indexed property access;JavaScript;LOCAL;0.31;0.24%;0;344
TypeScriptDuplicateUnionOrIntersectionType;JavaScript and TypeScript/TypeScript;Duplicate union or intersection type component;TypeScript;LOCAL;0.31;0.24%;0;344
JSDuplicatedDeclaration;JavaScript and TypeScript/General;Duplicate declaration;JavaScript;LOCAL;0.26;0.20%;0;344
AngularUnsupportedSyntax;Angular;Unsupported Angular expression syntax;Angular2;LOCAL;0.21;0.17%;0;344
TypeScriptValidateTypes;JavaScript and TypeScript/TypeScript;Type mismatch;TypeScript;LOCAL;0.21;0.16%;0;345
JSMismatchedCollectionQueryUpdate;JavaScript and TypeScript/General;Mismatched query and update of collection;JavaScript;LOCAL;0.21;0.16%;0;344
DuplicatedCode;General;Duplicated code fragment;;LOCAL;0.19;0.15%;3;513
JSValidateJSDoc;JavaScript and TypeScript/General;Syntax errors and unresolved references in JSDoc;JavaScript;LOCAL;0.18;0.14%;0;345
BadExpressionStatementJS;JavaScript and TypeScript/Validity issues;Expression statement which is not assignment or call;JavaScript;LOCAL;0.17;0.13%;0;345
ES6RedundantAwait;JavaScript and TypeScript/Async code and promises;Redundant 'await' expression;JavaScript;LOCAL;0.16;0.12%;0;344
ES6PreferShortImport;JavaScript and TypeScript/General;Import can be shortened;JavaScript;LOCAL;0.16;0.12%;1;344
JSReferencingMutableVariableFromClosure;JavaScript and TypeScript/General;Referencing mutable variable from closure;JavaScript;LOCAL;0.14;0.11%;0;344
ReservedWordAsName;JavaScript and TypeScript/Validity issues;Reserved word used as name;JavaScript;LOCAL;0.14;0.10%;0;344
JSPotentiallyInvalidUsageOfThis;JavaScript and TypeScript/Probable bugs;Potentially invalid reference to 'this' from closure;JavaScript;LOCAL;0.10;0.08%;0;344
JSUnreachableSwitchBranches;JavaScript and TypeScript/Switch statement issues;Unreachable 'case' branch of a 'switch' statement;JavaScript;LOCAL;0.10;0.07%;0;344
JSIncompatibleTypesComparison;JavaScript and TypeScript/Probable bugs;Comparison of expressions having incompatible types;JavaScript;LOCAL;0.09;0.07%;0;344
JSXDomNesting;JavaScript and TypeScript/React;Invalid DOM element nesting;JavaScript;LOCAL;0.09;0.07%;0;345
MongoJSSideEffects;MongoJS;Statement with side effects;MongoJSExt;LOCAL;0.09;0.07%;0;345
JSNonASCIINames;JavaScript and TypeScript/Naming conventions;Identifiers with non-ASCII symbols;JavaScript;LOCAL;0.07;0.05%;0;344
UnreachableCodeJS;JavaScript and TypeScript/Control flow issues;Unreachable code;JavaScript;LOCAL;0.06;0.05%;0;344
CustomRegExpInspection;RegExp;Custom RegExp inspection;;LOCAL;0.06;0.05%;0;510
SillyAssignmentJS;JavaScript and TypeScript/Assignment issues;Variable is assigned to itself;JavaScript;LOCAL;0.05;0.04%;0;344
MongoJSResolve;MongoJS;Resolution problems;MongoJSExt;LOCAL;0.05;0.04%;0;344
InfiniteLoopJS;JavaScript and TypeScript/Probable bugs;Infinite loop statement;JavaScript;LOCAL;0.04;0.03%;0;344
InfiniteRecursionJS;JavaScript and TypeScript/Probable bugs;Infinite recursion;JavaScript;LOCAL;0.04;0.03%;0;344
VulnerableLibrariesLocal;Security;Vulnerable declared dependency;;LOCAL;0.04;0.03%;0;509
IncompatibleBitwiseMaskOperation;JavaScript and TypeScript/Bitwise operation issues;Incompatible bitwise mask operation;JavaScript;LOCAL;0.04;0.03%;0;344
ES6PossiblyAsyncFunction;JavaScript and TypeScript/Async code and promises;'await' in non-async function;JavaScript;LOCAL;0.04;0.03%;0;344
LoopStatementThatDoesntLoopJS;JavaScript and TypeScript/Control flow issues;Loop statement that doesn't loop;JavaScript;LOCAL;0.04;0.03%;0;344
MaliciousLibrariesLocal;Security;Malicious dependency;;LOCAL;0.04;0.03%;0;509
TypeScriptCheckImport;JavaScript and TypeScript/TypeScript;Unresolved imported name;TypeScript;LOCAL;0.04;0.03%;0;344
TypeScriptMissingConfigOption;JavaScript and TypeScript/TypeScript;Missing tsconfig.json option ;TypeScript;LOCAL;0.03;0.03%;0;345
StatementWithEmptyBodyJS;JavaScript and TypeScript/Potentially confusing code constructs;Statement with empty body;JavaScript;LOCAL;0.03;0.02%;0;344
JSXUnresolvedComponent;JavaScript and TypeScript/General;Unresolved JSX component;JavaScript;LOCAL;0.03;0.02%;1;345
ContinueOrBreakFromFinallyBlockJS;JavaScript and TypeScript/Try statement issues;'continue' or 'break' inside 'finally' block;JavaScript;LOCAL;0.03;0.02%;0;345
UnnecessaryLabelOnContinueStatementJS;JavaScript and TypeScript/Control flow issues;Unnecessary label on 'continue' statement;JavaScript;LOCAL;0.03;0.02%;0;344
UnnecessaryContinueJS;JavaScript and TypeScript/Control flow issues;Unnecessary 'continue' statement;JavaScript;LOCAL;0.03;0.02%;0;345
AngularIncorrectLetUsage;Angular;Incorrect usage of @let declaration;Angular2;LOCAL;0.03;0.02%;0;344
JSTypeOfValues;JavaScript and TypeScript/Probable bugs;'typeof' comparison with non-standard value;JavaScript;LOCAL;0.03;0.02%;0;344
PointlessArithmeticExpressionJS;JavaScript and TypeScript/Potentially confusing code constructs;Pointless arithmetic expression;JavaScript;LOCAL;0.03;0.02%;0;344
AngularInvalidSelector;Angular;Missing or invalid selector;none;LOCAL;0.03;0.02%;0;174
TypeScriptLibrary;JavaScript and TypeScript/TypeScript;Missing global library;TypeScript;LOCAL;0.02;0.02%;0;344
ShiftOutOfRangeJS;JavaScript and TypeScript/Bitwise operation issues;Shift operation by possibly wrong constant;JavaScript;LOCAL;0.02;0.02%;0;345
